Song,Artist,Lyrics
Squabble Up,['Kendrick Lamar'],"
God knows
I am reincarnated
I was stargazin'
Life goes on, I need all my babies 

Woke up lookin' for the broccoli
High-key, keep a horn on me, that Kamasi
IP, ownership, the blueprint is by me
Mr. Get Off, I get off and mop feet
When I hear music, it makes me dance
You got the music, now is your chance
A yee nigga couldn't try me in the tri-state
Buddy pass, bet I get him splashed 'til he hydrated
Bounce out, know he spook town, eyes dilated
I got the money and the power both gyratin'

I feel good, get the fuck out my face
Look good, but shе don't got no taste
I walk in, walked out with the safе
Mando, let me know what the play

What the fuck?
I got hits, I got bucks, I got new paper cuts
I got friends, I got foes, but they all sitting ducks
Hit his turf and get crackin', double back like a deluxe
Fifty deep, but it ain't deep enough
Fuck a plea, there he go, beat him up
Fallin' from a money tree
 
and it grow throughout the months
Spit a loogie at the camera, speed off, yeah, it's us

I feel good, get the fuck out my face
Look good, but she don't got no taste
I walk in, walked out with the safe
Mando, let me know what the play

Squabble up, squabble up
Squabble up, squabble up
Squabble up , squabble up 
Squabble up , squabble up

Hol' up 
Where you from? 
Bye, bitch 
I'm finna go dumb 
Sideways 
Bunk skunk 
Fever 
I'm on one 

Thunk, thunk, thunk, thunk, thunk, baby rockin' it
Quid pro quo, what you want? 'Cause I'm watchin' it
Work on the floor, let me know if you clockin' it
Brodie won't go, but I know that he poppin' it
It was woof tickets on sale 'til I silenced it
Pipe down, young, these some whole other politics
Bitch with him and some bitch in him, that's a lot of bitch
Don't hit him, he got kids with him, my apologies
Ghetto child, it was Blacky Milds with the Smirnoff
Yeehaw, we outside, whoadie 'bout to kill him off
Blaps on blaps, it's a fact, this a brick of raw
Tell me why the fuck you niggas rap if it's fictional?
Tell me why the fuck you niggas fed if you criminal?
""Ayy, Dot, can I get a drop?"" I'm like, ""Nigga, nah""
Ace boon coon from the Westside to Senegal
It's a full moon, let the wolves out, I been a dog
 


I feel good, get the fuck out my face
Look good, but she don't got no taste
I walk in, walked out with the safe
Mando, let me know what the play

Squabble up, squabble up
Squabble up, squabble up
Squabble up , squabble up 
Squabble up , squabble up"
Si Antes Te Hubiera Conocido,['Karol G'],"

¿Q
ué lo
 que?
Estamo' a rulay
Empezó el verano
Fuego

¿Qué hubiera sido?
Si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos

Sino como otra cosa
Usted cerca me pone peligrosa
Por un besito hago cualquier cosa
La novia suya me pone celosa y aunque es hermosa
¡Ey!

No te va a tratar como yo
No te va a besar como yo
No está tan rica así como yo
Ella es tímida y yo no
Con esta' ganas que tengo yo
Me atrevo a comerme los do'
Hoy estás jangueando con ella
Pero, mmm, después tal vez no

¿Qué hubiera sido?
Si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos, ¡ey!
¿Qué hubiera sido?
Ay, si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos, ¡ey!

Y yo te veo y no sé cómo actuar
Bebé, pa' conquistarte que me pasen el manual
Espero lo que sea, yo no me voy a quitar
Tengo fe que esos ojito' un día me van a mirar
Yo me caso contigo
Mi nombre suena bien con tu apellido
'Toy esperando el primer descuido
Pa' presentarte como mi marido
Yo me caso contigo
Mi nombre suena bien con tu apellido
'Toy esperando el primer descuido
Pa' presentarte como mi marido
No has entendido que

No te va a tratar como yo
No te va a besar como yo
No está tan rica así como yo
Ella es tímida y yo no
Con esta' ganas que tengo yo
Me atrevo a comerme los do'
Hoy estás jangueando con ella
Pero  después tal vez no

¿Qué hubiera sido?
Si antes te hubiera conocido 
Seguramente, estarías bailando esta conmigo
No como amigos, no, no, no
Ey, ey, ey, ey


Chiqui-chá, chiqui-chá, chiqui-chá, chiqui-chá 
Uh-uh-uh-uh

"
Mistletoe,['Justin Bieber'],"


It's the most beautiful time of the year
Lights fill the streets, spreadin' so much cheer
I should be playin' in the winter snow
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop starin' at your face
I should be playin' in the winter snow
But I'ma be under the mistletoe

 Shawty, with you
 Shawty, with you 
 Under the mistletoe

Everyone's gatherin' around the fire
Chestnuts roastin' like a hot July
I should be chillin' with my folks, I know
But I'ma be under the mistletoe
Word on the street, Santa's comin' tonight
Reindeers flyin' through the sky so high
I should be makin' a list, I know
But I'ma be under the mistletoe

 Shawty, with you
 Shawty, with you
 Under the mistletoe 
 Shawty, with you
 Shawty, with you 
 Under the mistletoe

Hey, love
The wise men followed a star 
The way I followed my heart
And it led me to a miracle
Hey, love 
Don't you buy me nothin' 
'Cause I am feelin' one thing
Your lips on my lips
That's a merry, merry Christmas

It's the most beautiful time of the year
Lights fill the streets, spreadin' so much cheer
I should be playin' in the winter snow 
But I'ma be under the mistletoe
I don't wanna miss out on the holiday
But I can't stop starin' at your face
I should be playin' in the winter snow
But I'ma be under the mistletoe

 Shawty, with you
 Shawty, with you
 Under the mistletoe 
 Shawty, with you
 Shawty, with you 
 Under the mistletoe 

Kiss me underneath the mistletoe 
Show me, baby, that you love me so 
Oh, oh, oh 
Kiss me underneath the mistletoe 
Show me, baby, that you love me so 
Oh, oh, oh "
Christmas (Baby Please Come Home),['Darlene Love'],"
 The snow's coming down
 I'm watching it fall
 Lots of people around
 Baby, please come home

 The church bells in town
 All ringing in song
 Full of happy sounds
 Baby, please come home

They're singing ""Deck the Halls""
But it's not like Christmas at all
'Cause I remember when you were here
And all the fun we had last year

 Pretty lights on the tree
 I'm watching them shine
 You should be here with me
 Baby, please come home

They're singing ""Deck the Halls""
But it's not like Christmas at all
'Cause I remember when you were here
And all the fun we had last year

 If there was a way
 I'd hold back this tear
 But it's Christmas day
 Please
 Please
 Please,  please
 Please,  please

Baby, please come home
 Baby, please come home
 Baby, please come home
 Baby, please come home
 Oh yeah, yeah, yeah
 Oh, please, baby
 Please come home



"
Holly Jolly Christmas,['Michael Buble'],"Have a holly, jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer
Have a holly, jolly Christmas
And when you walk down the street
Say Hello to friends you know
And everyone you meet
Oh, ho, the mistletoe
Is hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly, jolly Christmas
And in case you didn't hear
Oh by golly, have a holly
Jolly Christmas this year

Oh, ho, the mistletoe
Is hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly, jolly Christmas
And in case you didn't hear
Oh by golly, have a holly
Jolly Christmas this year"
Nonsense,['Sabrina Carpenter'],"
Oh-oh, oh-oh, oh-oh 
Da-ah, ah-ah, ah-ah-ah
Uh-huh, uh-huh, uh-huh, uh-huh
Yeah

Think I only want one number in my phone
I might change your contact to ""Don't Leave Me Alone""
You said you like my eyes and you like to make 'em roll
Treat me like a queen, now you got me feelin' thrown, oh

But I can't help myself when you get close to me
Baby, my tongue goes numb, sounds like ""bleh-blah-blee""
I don't want no one else , baby, I'm in too deep
Here's a lil' song I wrote , it's about you and me 

I'll be honest
Lookin' at you got me thinkin' nonsense
Cartwheels in my stomach when you walk in
And when you got your arms around me
Oh, it feels so good
I had to jump the octave
I think I got an ex, but I forgot him
And I can't find my chill, I must've lost it
I don't even know, I'm talkin' nonsense
I'm talkin', I'm talkin' 

I'm talkin' all around the clock
I'm talkin' hope nobody knocks
I'm talkin' opposite of soft
I'm talkin' wild, wild thoughts
You gotta keep up with me
I got some young energy
I caught the L-O-V-E
How do you do this to me?

But I can't help myself when you get close to me
Baby, my tongue goes numb, sounds like ""bleh-blah-bleh-blee""
And I don't want no one else , baby, I'm in too deep 
Here's a lil' song I wrote , it's about you and me

I'll be honest 
Lookin' at you got me thinkin' nonsense 
Cartwheels in my stomach when you walk in 
When you got your arms around me
Oh, it feels so good
I had to hit the octave
I think I got an ex, but I forgot him
And I can't find my chill, I must've lost it
I don't even know, I'm talkin' nonsense 
I'm talkin', I'm talkin', I'm talkin'

I'm talkin', I'm talkin' , I'm talkin'

Ah-ah, ah-ah, ah 
I don't even know anymore


This song catchier than chickenpox is
I bet your house is where my other sock is
Woke up this morning, thought I'd write a pop hit, ha-ha
How quickly can you take your clothes off? Pop quiz
That one's not gonna make it
Most of these aren't gonna make—"
A Bar Song (Tipsy),['Shaboozey'],"
My baby want a Birkin, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This 
nine-to-five ain't workin
', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone, uh

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey
They know me and Jack Daniеl's got a history
There's a party downtown near 5th Street
Evеrybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

I've been Boozey since I left
I ain't changin' for a check
Tell my ma I ain't forget , I
Woke up drunk at 10 a.m.​
We gon' do this shit again
Tell your girl to bring a friend, oh, Lord

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey 
They know me and Jack Daniel's got a history 
There's a party downtown near 5th Street
Everybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy 
Everybody at the bar gettin' tipsy

One, here comes the two to the three to the four
When it's last call and they kick us out the door
It's gettin' kind of late, but the ladies want some more
Oh my, good Lord 

Someone pour me up a double shot of whiskey 
They know me and Jack Daniel's got a history 
There's a party downtown near 5th Street 
Everybody at the bar gettin' tipsy 
Someone pour me up a double shot of whiskey 
They know me and Jack Daniel's got a history 
At the bottom of a bottle, don't miss me 
Everybody at the bar gettin' tipsy 

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

That's fuckin' messed up, bro, they kicked me out the bar"
It's Beginning To Look A Lot Like Christmas,['Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra'],"
It's beginning to look a lot like Christmas
Everywhere you go
Take a look at the five and ten
It's glistening once again
With candy canes and silver lanes aglow
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

A pair of hop-a-long boots and a pistol that shoots
Is the wish of Barney and Ben
Dolls that will talk and will go for a walk
Is the hope of Janice and Jen
And Mom and Dad can hardly wait for school to start again
It's beginning to look a lot like Christmas
Everywhere you go
There's a tree in the Grand Hotel, one in the park as well
It's the sturdy kind that doesn't mind the snow

It's beginning to look a lot like Christmas
Soon, the bells will start
And the thing that will make them ring is the carol that you sing
Right within your heart
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door

Sure it's Christmas once more"
Run Rudolph Run,['Chuck Berry'],"
Out of all the reindeers, you know you're the mastermind
Run, run, Rudolph, Randolph ain't too far behind

Run, run, Rudolph, Santa's got to make it to town
Santa make him hurry, tell him he can take the freeway down
Run, run, Rudolph, 'cause I'm reeling like a merry-go-round

Said Santa to a boy, ""Child, what have you been longing for?""
""All I want for Christmas is a rock-and-roll electric guitar""
And then away went Rudolph whizzing like a shooting star

Run, run, Rudolph, Santa has to make it to town
Santa make him hurry, tell him he can take the freeway down
Run, run, Rudolph, reeling like a merry-go-round


Run, run, Rudolph, Santa's got to make it to town
Santa make him hurry, tell him he can take the freeway down
Run, run, Rudolph, I'm reeling like a merry-go-round

Said Santa to a girl, ""Child, what would please you most to get?""
""A little baby doll that can cry, sleep, drink, and wet""
And then away went Rudolph, whizzing like a Sabre jet

Run, run, Rudolph, Santa's got to make it to town
Santa make him hurry, tell him he can take the freeway down
Run, run, Rudolph, I'm reeling like a merry-go-round"
Ma Meilleure Ennemie,"['Stromae', 'Pomme']","
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you

You're the best thing to ever happen to me
But also the worst thing to ever happen to me
On that day when I met you, maybe I would rather
That it never happened to me 
The worst of all blessings
The best of all cursеs
I should stray away from you
But as the saying goes
""Bettеr than alone, is to be in bad company""

You know what they say
Stay close to your dearest friends
But also
Even closer to your adversaries

But my best enemy is you
Flee from me, the worst is you and I
But if you keep searching for my voice
Forget me, the worst is you and I

Why does hearing your name hurt me
When it hides right there in the vicinity?
What kind of emotion, is it hatred
Or pure sweetness when I hear your name?

I had told you, not to keep looking behind
Your past will follow you and wage war on you

But my best enemy is you
Flee from me, the worst is you and I
But my best enemy is you
Flee from me, the worst is you and I

I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you
I love you, I hate you, I love you, I hate you"
Jingle Bells,"['Frank Sinatra With The Orchestra', 'Chorus Of Gordon Jenkins']","
Dashing through the snow
In a one-horse open sleigh
O'er the fields we go
Laughing all the way
Bells on bobtails ring
Making spirits bright
What fun it is to ride and sing
A sleighing song tonight

Oh! Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh

A day or two ago
I thought I'd take a ride
And soon, Miss Fanny Bright
Was seated by my side
The horse was lean and lank
Misfortune seemed his lot
He got into a drifted bank
And then we got upsot

Hey, jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh

A day or two ago
The story I must tell
I went out on the snow
And on my back I fell
A gent was riding by
In a one-horse open sleigh
He laughed as there I sprawling lie
But quickly drove away

Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh

Now the ground is white
Go it while you're young
Take the girls tonight
And sing this sleighing song
Just get a bobtailed bay
Two forty as his speed
Hitch him to an open sleigh
And crack, you'll take the lead

Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh"
Please Please Please,['Sabrina Carpenter'],"
I know I have good judgment, I know I have good taste
It's funny and it's ironic that only I feel that way
I promise 'em that you're different and everyone makes mistakes
But just don't
I heard that you're an actor, so act like a stand-up guy
Whatever devil's inside you, don't let him out tonight
I tell them it's just your culture and everyone rolls their eyes
Yeah, I know
All I'm asking, baby

Please, please, please
Don't prove I'm right
And please, pleasе, please
Don't bring me to tеars when I just did my makeup so nice
Heartbreak is one thing, my ego's another
I beg you, don't embarrass me, motherfucker, oh
Please, please, please 

Well, I have a fun idea, babe , maybe just stay inside
I know you're cravin' some fresh air, but the ceiling fan is so nice 
And we could live so happily if no one knows that you're with me
I'm just kidding, but really , really, really

Please, please, please 
Don't prove I'm right
And please, please, please
Don't bring me to tears when I just did my makeup so nice
Heartbreak is one thing , my ego's another 
I beg you, don't embarrass me, motherfucker, oh
Please, please, please 

If you wanna go and be stupid
Don't do it in front of me
If you don't wanna cry to my music
Don't make me hate you prolifically
Please, please, please 
Please, please, please 
Please , please , please
"
Happy Xmas (War Is Over),"['John', 'Yoko/The Plastic Ono Band With The Harlem Community Choir']","
Happy Christmas, Kyoko
Happy Christmas, Julian

So this is Christmas
And what have you done?
Another year over
And a new one just begun
And so this is Christmas
I hope you had fun
The near and the dear ones
The old and the young

A very merry Christmas
And a happy New Year
Let's hope it's a good one
Without any fear

And so this is Christmas
 

For weak and for strong
 

The rich and the poor ones 

The road is so long 

And so happy Christmas 

For black and for white 

For yellow and red ones
 

Let's stop all the fight
 


A very merry Christmas
And a happy New Year
Let's hope it's a good one
Without any fear

And so this is Christmas 

And what have we done? 

Another year over 

And a new one just begun 

And so happy Christmas 

We hope you have fun 

The near and the dear ones 

The old and the young 


A very merry Christmas
And a happy New Year
Let's hope it's a good one
Without any fear

War is over
If you want it
War is over
Now
Happy Christmas
Happy Christmas 
Happy Christmas 
Happy Christmas "
Khe?,"['Rauw Alejandro', 'Romeo Santos']","

Te escribí lo que sentía y lo borré
Te dije que no te amaba y lo arruiné
Sabiendo que
Cuando te ibas, solo quería besarte
Me acuerdo cuando de tu casa me fui
Dije que ""no"" queriendo decir que ""sí""
Pero sentí tu duda y me trajo la duda
Por eso estamos aquí

Me dices que pa' qué y yo te digo que
Si no somos nada, ¿entonces a qué
Estamos jugando? El tiempo volando
Y tú sin mí no sé si bien la estás pasando
Me dices que pa' qué y yo tе digo que
¿Pa' qué nos mentimos? Si en еl fondo se
Te nota tanto que te está matando
Decir que ahora sin mí mejor la estás pasando

Yo fronteando me hice el fuerte y me apeché
Tú queriendo ser mi amiga y te besé
Sabes muy bien
Que no podemos controlar los sentimientos
Y llamo a otras pa' olvidarme de ti
Pero en mi mente yo te tengo en repeat
Más que una calentura, baby, tú disimulas
Por eso estamos aquí

Me dices que pa' qué y yo te digo que
Si no somos nada, ¿entonces a qué
Estamos jugando? El tiempo volando
Y tú sin mí no sé si bien la estás pasando
Me dices que pa' qué y yo te digo que
¿Pa' qué nos mentimos? Si en el fondo se
Te nota tanto que te está matando
Decir que ahora mejor sin mí la estás pasando

Rauw
¿Cómo se llama este juego que estamos jugando los dos?
Con la hipocresía que llevamos la careta nos pueden creer
Tú supiste que te quiero
Yo te digo ""dame banda"", pero me quemo por dentro
Cuando estoy en romo feo
Yo te llamo y me quedo en mudez

Quédate
¿Pa' dónde tú va'? Ven, ¿pa' dónde tú va'?
Qué—ay, quédate
¿Pa' dónde tú va'?

Me dices que pa' qué y yo te digo que
¿Pa' qué nos mentimos? Si en el fondo se
Te nota tanto que te está matando
Decir que ahora mejor sin mí la estás pasando

Me dices que pa' qué
Y yo te digo que, y yo te digo que, ¿pa' qué?
Me dices que pa' 
qué
Y tú sin mí no sé si bien la estás pasando
Mami
Es Raúl Alejandro junto a The King Romeo, jaja 
Y yo no sé lo que tú y yo tenemo', pero quiero que sepas que es especial

Te escribí lo que sentía y lo borré
Te dije que no te amaba y lo arruiné
Sabiendo que
"
Que Pasaria...,"['Rauw Alejandro', 'Bad Bunny']","

¿Qué pasaría si volvieran esas noche' dentro de ti?
Qué rico fue cuando te metí
Tú sabe' lo que hicimo'
Y ahora sin buscarno' en la disco nos vimo'

¿Qué pasaría si estuviéramos solos?
En una cama, ey, ey, recordando
Cómo ante' yo te lo metía, tu amiga se fue
¿Por qué te estás quedando? Algo te está faltando, bebé, y

Yo lo tengo, ma, yo lo tengo, ma
Yo lo tengo y te lo doy esta noche 
Suena su canción, suena su canción
Tú la ve' y nadie la conoce
No lo piense' má', no lo piense' má'
No lo piensе' y dame otra noche
Que yo tе doy lo que te falte, bebé 

Y si nos comemo' otra vez, ¿a quién le importa? 
Esto es cosa nuestra, cuando la bellaquera aprieta 
Lleno de video' dándole están las carpeta'
La tengo brincando en un split 
Explícita le gusta la letra 
Tú siempre' termina' aquí
Mi gata salvaje y yo soy quien te aquieta, eh
Yo sé que tú no vas a parar hasta tener lo que quieres 
Ella está prendía' en fuego, quiere que me queme 
Ya por mi mente pasa hacerte un par de nenes 
Diablo, qué culo tienes 

Baby, no te haga', tú sabe' lo que va a pasar
Si no te la saco, me va' a tener que envasar
Tú sabe' quién la tiene, yo sé cómo te viene'
Imagínate un baby si juntamo' los gene'
Por ahora no quiere, en la boca la prefiere, y
Se dio un shot de mi ADN
Tan callaíta' la nena , pero bellaqueando nunca frena 
Sudaíta', brincando, brillando como mis cadena'
Ba-Ba-Baila, morena 
Me mira y me lo agarra, ella sabe pa' qué
Es que la noche está buena
La disco está llena, pero

¿Qué pasaría si estuviéramos solos?
En una cama tú y yo chingando
Como antes yo te lo metía, tu amiga se fue
¿Por qué te estás quejando? Algo te está faltando
Eh, eh, eh, eh 

Yo lo tengo, ma, yo lo tengo, ma
Yo lo tengo y te la doy esta noche 
Suena su canción, suena su canción
Tú la ve' y nadie la conoce 
No lo piense' má', no lo piense' má'
No lo piense' y dame otra noche
Eh-eh-eh, eh-eh-eh, eh-eh-eh, mmm

Dime, MAG, ponle más
Dime, MAG, ponle más
Ey, ey, ey, ja"
Deck The Halls,['Nat King Cole'],"
Deck the halls with boughs of holly
Fa-la-la-la-la, la-la-la-la
'Tis the season to be jolly
Fa-la-la-la-la, la-la-la-la
Don we now our gay apparel
Fa-la-la, la-la-la, la-la-la
Troll the ancient Yule-tide carol
Fa-la-la-la-la, la-la-la-la

See the blazing Yule before us
Fa-la-la-la-la, la-la-la-la
Strike the harp and join the chorus
Fa-la-la-la-la, la-la-la-la
Follow me in merry measure
Fa-la-la, la-la-la, la-la-la
While I tell of Yule-tide treasure
Fa-la-la-la-la, la-la-la-la

Fast away the old year passes
Fa-la-la-la-la, la-la-la-la
Hail the new year, lads and lasses
Fa-la-la-la-la, la-la-la-la
Sing we joyous, all together
Fa-la-la, la-la-la, la-la-la
Heedless of the wind and weather
Fa-la-la-la-la, la-la-la-la"
Blue Christmas,['Elvis Presley'],"
I'll have a blue Christmas without you
I'll be so blue just thinking about you
Decorations of red on a green Christmas tree
Won't be the same, dear, if you're not here with me

And when those blue snowflakes start fallin'
That's when those blue memories start callin'
You'll be doin' all right with your Christmas of white
But I'll have a blue, blue, blue, blue Christmas


You'll be doin' all right with your Christmas of white
But I'll have a blue, blue, blue, blue Christmas"
Too Sweet,['Hozier'],"
It can't be said I'm an early bird
It's 10 o'clock before I say a word
Baby, I can never tell
How do you sleep so well?
You keep tellin' me to live right
To go to bed before the daylight
But then you wake up for the sunrise
You know you don't gotta pretend
Baby, now and then

Don't you just wanna wake up, dark as a lake
Smellin' like a bonfire, lost in a haze?
If you're drunk on life, babe, I think it's great
But while in this world

I think I'll take my whiskey neat
My coffee black
 
and my bed at 3
You're too sweet for me
You're too sweet for me
I take my whiskеy neat
My coffee black and my bed at 3
You're too sweet for mе
You're too sweet for me

Ooh, ooh
Ooh, ooh

I aim low
I aim true, 
and the ground's where I go
I work late where I'm free from the phone
And the job gets done
But you worry some, I know
But who wants to live forever, babe?
You treat your mouth as if it's Heaven's gate
The rest of you like you're the TSA
I wish I could go along
Babe, don't get me wrong

You know you're 
bright as the morning, as soft as the rain
Pretty as a vine, as sweet as a grape
If you can sit in a barrel, maybe I'll wait
Until that day

I'd rather take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me
I take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me

Woah, woah
Woah, woah
Woah, woah
Woah, woah

I take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me"
Do They Know It's Christmas?,['Band Aid'],"
It's Christmas time
There's no need to be afraid
At Christmas time
We let in light and we banish shade

And in our world of plenty
We can spread a smile of joy
Throw your arms around the world
At Christmas time

]
But say a prayer
Pray for the other ones
At Christmas time 
it's hard
But when you're having fun

There's a world outside your window
And it's a world of dread and fear

Where the only water flowing
Is the bitter sting of tears

And the Christmas bells that ring there
Are the clanging chimes of doom

Well, tonight thank God it's them
Instead of you

And there won't be snow in Africa this Christmas time
The greatest gift they'll get this year is life 
Where nothing ever grows, no rain or rivers flow
Do they know it's Christmas time at all?

Here's to you

Raise a glass for everyone

Here's to them

Underneath that burning sun

Do they know it's Christmas time at all?

Feed the world
Feed the world
Feed the world
Let them know it's Christmas time again
Feed the world
Let them know it's Christmas time again
Feed the world
Let them know it's Christmas time again
Feed the world
Let them know it's Christmas time again
Feed the world
Let them know it's Christmas time again
Feed the world
Let them know it's Christmas time again
Feed the world
Let them know it's Christmas time again"
"I Love You, I'm Sorry",['Gracie Abrams'],"
Two Augusts ago
I told the truth, oh, but you didn't like it, you went home
You're in your Benz, I'm by the gate
Now you go alone
Charm all the people you train for, you mean well but aim low
And I'll make it known like I'm getting paid

That's just the way life goes
I like to slam doors closed
Trust me, I know it's always about me
I love you, I'm sorry

Two summers from now
We'll have been talking, but not all that often, we're cool now
I'll be on a boat, you're on a plane
Going somewhere, same
And I'll have a drink
Wistfully lean out my window and watch the sun set on the lake
I might not feel real, but it's okay, mm

'Cause that's just the way life goes
I push my luck, it shows
Thankful you don't send someone to kill me
I love you, I'm sorry

You were the best but you were the worst
As sick as it sounds, I loved you first
I was a dick, it is what it is
A habit to kick, the age-old curse
I tend to laugh whenever I'm sad
I stare at the crash, it actually works
Making amends, this shit never ends
I'm wrong again, wrong again

The way life goes
Joyriding down our road
Lay on the horn to prove that it haunts me

I love you, I'm sorry
The way life goes


I wanna speak in code


Hope that I don't, won't make it about me


I love you, I'm sorry"
White Christmas,"['Bing Crosby With Ken Darby Singers', 'John Scott Trotter', 'His Orchestra']","
I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
With every Christmas card I write
""May your days be merry and bright
And may all your Christmases be white""

I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow

I'm dreaming of a white Christmas
With every Christmas card I write
""May your days be merry and bright
And may all your Christmases be white"""
Rosones,['Tito Double P'],"

Jajajaja
Fuerza Regida

Puta lavada, botellas de cristal
La paca llega, la quiero reventar
Traigo a la más buena de todo Instagram
Cuerpo bonito, ese culo es natural
Tú quieres un vato, chocolate y flores
Yo te regalo, mija, hasta unos rosones
Pero no cuentes que prendimos los blones
Porque tus amigas van envidiarte

Las putas lavada
Cómo me encanta lo que hace la fama
Parezco de la maña
Me veo bien placoso de Dolce & Gabbana
Traigo buen rеspaldo
Y un chingo de morras conocen mi cama
Mi amor, no soy celoso
Mija, no tе preocupes, que aquí no hay falla

Ay, güey
¡Uh!
Que aquí no hay falla
Fuerza Regida
Compa Jorsshh

Vuelo privado, de motita las flores
Véngase, mami, pégame unos sentones
Ya amanecido, ya van dos loquerones
No es mi culpa que ella solita se pone
Le piso a la cuadrada y unos gallones
Pisteando, a la verga, suenan los corridones
Mi bandolera está llena de pacones
Traigo pa' en cualquier putero mamarme

Las putas lavada
Cómo me encanta lo que hace la fama
Parezco de la maña
Me veo bien placoso de Dolce & Gabbana
Traigo buen respaldo
Y un chingo de culos conocen mi cama
Mi amor, no soy celoso
Mija, no te preocupes, que aquí no hay falla

Jajaja
Que aquí no hay falla
Y arriba la 
Empresa SM
, viejo"
Santa Baby,['Eartha Kitt With Henri Rene And His Orchestra'],"
Santa baby, just slip a sable under the tree
For me
Been an awful good girl
Santa baby, so hurry down the chimney tonight

Santa baby, a '54 convertible too
Light blue
I'll wait up for you dear
Santa baby, so hurry down the chimney tonight

Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be just as good
If you'll check off my Christmas list

Santa baby, I want a yacht
And really that's not a lot
Been an angel all year
Santa baby, so hurry down the chimney tonight

Santa honey, one little thing I really need
The deed
To a platinum mine
Santa baby, so hurry down the chimney tonight

Santa cutie, and fill my stocking with a duplex
And checks
Sign your 'X' on the line
Santa cutie, and hurry down the chimney tonight

Come and trim my Christmas tree
With some decorations bought at Tiffany
I really do believe in you
Let's see if you believe in me

Santa baby, forgot to mention one little thing
A ring
I don't mean on the phone
Santa baby, so hurry down the chimney tonight

Hurry down the chimney tonight
Hurry, tonight"
